"tier","name","kind","url","evidence","qualification","action"
"primary","REI Systems","contractor-discovery","https://www.linkedin.com/company/rei-systems","public LinkedIn identity observed","revenue and buying-role fit UNKNOWN; do not treat as qualified prospect","follow; discover growth/capture leaders"
"primary","MetroStar","contractor-discovery","https://www.linkedin.com/company/metrostar-systems/life/culture","public LinkedIn identity observed","revenue and buying-role fit UNKNOWN; do not treat as qualified prospect","follow; discover growth/capture leaders"
"primary","Steampunk","contractor-discovery","https://www.linkedin.com/company/steampunk-inc","public LinkedIn identity observed","revenue and buying-role fit UNKNOWN; do not treat as qualified prospect","follow; discover growth/capture leaders"
"primary","Raft","contractor-discovery","https://www.linkedin.com/company/raft-tech","public LinkedIn identity observed","revenue and buying-role fit UNKNOWN; do not treat as qualified prospect","follow; discover growth/capture leaders"
"primary","540 Company","contractor-discovery","https://www.linkedin.com/company/540co","public LinkedIn identity observed","revenue and buying-role fit UNKNOWN; do not treat as qualified prospect","follow; discover growth/capture leaders"
"primary","Fearless","contractor-discovery","https://www.linkedin.com/company/fearlessbmore","public LinkedIn identity observed","revenue and buying-role fit UNKNOWN; do not treat as qualified prospect","follow; discover growth/capture leaders"
"primary","Sierra7","contractor-discovery","https://www.linkedin.com/company/sierra7inc","public LinkedIn identity observed","revenue and buying-role fit UNKNOWN; do not treat as qualified prospect","follow; discover growth/capture leaders"
"primary","Infotrend","contractor-discovery","https://www.linkedin.com/company/infotrend-inc","public LinkedIn identity observed","revenue and buying-role fit UNKNOWN; do not treat as qualified prospect","follow; discover growth/capture leaders"
"primary","Makpar","contractor-discovery","https://www.linkedin.com/company/makpar-corporation","public LinkedIn identity observed","revenue and buying-role fit UNKNOWN; do not treat as qualified prospect","follow; discover growth/capture leaders"
"primary","Tharros","contractor-discovery","https://www.linkedin.com/company/tharrosdefense","public LinkedIn identity observed","revenue and buying-role fit UNKNOWN; do not treat as qualified prospect","follow; discover growth/capture leaders"
"primary","NetImpact Strategies","contractor-discovery","https://www.linkedin.com/company/netimpact-strategies-inc-","public LinkedIn identity observed","revenue and buying-role fit UNKNOWN; do not treat as qualified prospect","follow; discover growth/capture leaders"
"primary","Capital Technology Group","contractor-discovery","https://www.linkedin.com/company/capitaltg","public LinkedIn identity observed","revenue and buying-role fit UNKNOWN; do not treat as qualified prospect","follow; discover growth/capture leaders"
"primary","Telos Corporation","contractor-discovery","https://www.linkedin.com/company/telos-corporation","public LinkedIn identity observed","revenue and buying-role fit UNKNOWN; do not treat as qualified prospect","follow; discover growth/capture leaders"
"primary","VTG","contractor-discovery","https://www.linkedin.com/company/vtgdefense","public LinkedIn identity observed","revenue and buying-role fit UNKNOWN; do not treat as qualified prospect","follow; discover growth/capture leaders"
"primary","Edgewater Federal Solutions","contractor-discovery","https://www.linkedin.com/company/edgewater-federal-solutions-inc-","public LinkedIn identity observed","revenue and buying-role fit UNKNOWN; do not treat as qualified prospect","follow; discover growth/capture leaders"
"primary","Strativia","contractor-discovery","https://www.linkedin.com/company/strativia","public LinkedIn identity observed","revenue and buying-role fit UNKNOWN; do not treat as qualified prospect","follow; discover growth/capture leaders"
"primary","SecureTech360","contractor-discovery","https://www.linkedin.com/company/securetech360","public LinkedIn identity observed","revenue and buying-role fit UNKNOWN; do not treat as qualified prospect","follow; discover growth/capture leaders"
"primary","Applied Research Solutions","contractor-discovery","https://www.linkedin.com/company/applied-research-solutions","public LinkedIn identity observed","revenue and buying-role fit UNKNOWN; do not treat as qualified prospect","follow; discover growth/capture leaders"
"primary","Kentro","contractor-discovery","https://www.linkedin.com/company/kentro-official","public LinkedIn identity observed","revenue and buying-role fit UNKNOWN; do not treat as qualified prospect","follow; discover growth/capture leaders"
"primary","Redhorse Corporation","contractor-discovery","https://www.linkedin.com/company/redhorse-corporation","public LinkedIn identity observed","revenue and buying-role fit UNKNOWN; do not treat as qualified prospect","follow; discover growth/capture leaders"
"primary","Professional Services Council","amplifier","https://www.linkedin.com/company/professional-services-council","public LinkedIn identity observed","audience relevance assessed; access and willingness UNKNOWN","follow; engage selectively"
"primary","National Defense Industrial Association","amplifier","https://www.linkedin.com/company/national-defense-industrial-association","public LinkedIn identity observed","audience relevance assessed; access and willingness UNKNOWN","follow; engage selectively"
"primary","National Contract Management Association","amplifier","https://www.linkedin.com/company/ncma","public LinkedIn identity observed","audience relevance assessed; access and willingness UNKNOWN","follow; engage selectively"
"primary","Association of Proposal Management Professionals","amplifier","https://www.linkedin.com/company/apmp","public LinkedIn identity observed","audience relevance assessed; access and willingness UNKNOWN","follow; engage selectively"
"primary","AFCEA International","amplifier","https://www.linkedin.com/company/afcea-international","public LinkedIn identity observed","audience relevance assessed; access and willingness UNKNOWN","follow; engage selectively"
"primary","Aerospace Industries Association","amplifier","https://www.linkedin.com/company/aerospace-industries-association","public LinkedIn identity observed","audience relevance assessed; access and willingness UNKNOWN","follow; engage selectively"
"primary","SECAF","amplifier","https://www.linkedin.com/company/secaf","public LinkedIn identity observed","audience relevance assessed; access and willingness UNKNOWN","follow; engage selectively"
"primary","APEX Accelerators","amplifier","https://www.linkedin.com/showcase/apex-accelerators/","public LinkedIn identity observed","audience relevance assessed; access and willingness UNKNOWN","follow; engage selectively"
"primary","GovCon Chamber of Commerce","amplifier","https://www.govconchamber.com/about","organization verified; exact LinkedIn identity pending","audience relevance assessed; access and willingness UNKNOWN","follow; engage selectively"
"primary","Federal News Network","amplifier","https://www.linkedin.com/company/federal-news-network","public LinkedIn identity observed","audience relevance assessed; access and willingness UNKNOWN","follow; engage selectively"
"primary","Washington Technology","amplifier","https://www.washingtontechnology.com","organization verified; exact LinkedIn identity pending","audience relevance assessed; access and willingness UNKNOWN","follow; engage selectively"
"primary","GovCon Wire","amplifier","https://www.linkedin.com/showcase/govcon-wire/","public LinkedIn identity observed","audience relevance assessed; access and willingness UNKNOWN","follow; engage selectively"
"primary","ExecutiveBiz","amplifier","https://www.linkedin.com/showcase/executive-biz/","public LinkedIn identity observed","audience relevance assessed; access and willingness UNKNOWN","follow; engage selectively"
"primary","Government Executive","amplifier","https://www.linkedin.com/company/government-executive","public LinkedIn identity observed","audience relevance assessed; access and willingness UNKNOWN","follow; engage selectively"
"primary","Nextgov FCW","amplifier","https://www.linkedin.com/company/nextgovfcw","public LinkedIn identity observed","audience relevance assessed; access and willingness UNKNOWN","follow; engage selectively"
"primary","Defense One","amplifier","https://www.linkedin.com/company/defense-one","public LinkedIn identity observed","audience relevance assessed; access and willingness UNKNOWN","follow; engage selectively"
"primary","Breaking Defense","amplifier","https://www.linkedin.com/showcase/breaking-defense/","public LinkedIn identity observed","audience relevance assessed; access and willingness UNKNOWN","follow; engage selectively"
"primary","Defense News","amplifier","https://www.linkedin.com/company/defense-news","public LinkedIn identity observed","audience relevance assessed; access and willingness UNKNOWN","follow; engage selectively"
"primary","National Defense Magazine","amplifier","https://www.linkedin.com/company/national-defense-magazine","public LinkedIn identity observed","audience relevance assessed; access and willingness UNKNOWN","follow; engage selectively"
"primary","War on the Rocks","amplifier","https://www.linkedin.com/company/warontherocks","public LinkedIn identity observed","audience relevance assessed; access and willingness UNKNOWN","follow; engage selectively"
"primary","CSIS","amplifier","https://www.linkedin.com/company/csis","public LinkedIn identity observed","audience relevance assessed; access and willingness UNKNOWN","follow; engage selectively"
"primary","RAND","amplifier","https://www.linkedin.com/company/rand-corporation","public LinkedIn identity observed","audience relevance assessed; access and willingness UNKNOWN","follow; engage selectively"
"primary","RUSI","amplifier","https://www.linkedin.com/company/royal-united-services-institute","public LinkedIn identity observed","audience relevance assessed; access and willingness UNKNOWN","follow; engage selectively"
"primary","Center for a New American Security","amplifier","https://www.linkedin.com/company/center-for-a-new-american-security","public LinkedIn identity observed","audience relevance assessed; access and willingness UNKNOWN","follow; engage selectively"
"primary","Digital Services Coalition","amplifier","https://www.linkedin.com/company/dscoalition","public LinkedIn identity observed","audience relevance assessed; access and willingness UNKNOWN","follow; engage selectively"
"primary","Mark Amtower","individual-amplifier","https://www.linkedin.com/in/markamtower","public LinkedIn identity observed","professional relevance assessed; relationship UNKNOWN","follow; connect only after substantive interaction"
"primary","Kevin Plexico","individual-amplifier","https://www.linkedin.com/in/kevin-plexico-6a61471","public LinkedIn identity observed","professional relevance assessed; relationship UNKNOWN","follow; connect only after substantive interaction"
"primary","Neil McDonnell","individual-amplifier","https://www.linkedin.com/in/neil-mcdonnell","public LinkedIn identity observed","professional relevance assessed; relationship UNKNOWN","follow; connect only after substantive interaction"
"primary","Nick Wakeman","individual-amplifier","https://www.linkedin.com/in/nickwakeman","public LinkedIn identity observed","professional relevance assessed; relationship UNKNOWN","follow; connect only after substantive interaction"
"primary","Shauna Weatherly","individual-amplifier","https://www.linkedin.com/in/shauna-weatherly","public LinkedIn identity observed","professional relevance assessed; relationship UNKNOWN","follow; connect only after substantive interaction"
"secondary","Leidos","federal-ecosystem","https://www.washingtontechnology.com/rankings/top-100/2026/","organization named in 2026 federal contractor ranking; exact LinkedIn identity pending","ecosystem watch; do not infer Phase 1 revenue fit from federal awards","follow-only/watch; prioritize relevant program and growth posts"
"secondary","Booz Allen Hamilton","federal-ecosystem","https://www.washingtontechnology.com/rankings/top-100/2026/","organization named in 2026 federal contractor ranking; exact LinkedIn identity pending","ecosystem watch; do not infer Phase 1 revenue fit from federal awards","follow-only/watch; prioritize relevant program and growth posts"
"secondary","Lockheed Martin","federal-ecosystem","https://www.washingtontechnology.com/rankings/top-100/2026/","organization named in 2026 federal contractor ranking; exact LinkedIn identity pending","ecosystem watch; do not infer Phase 1 revenue fit from federal awards","follow-only/watch; prioritize relevant program and growth posts"
"secondary","RTX","federal-ecosystem","https://www.washingtontechnology.com/rankings/top-100/2026/","organization named in 2026 federal contractor ranking; exact LinkedIn identity pending","ecosystem watch; do not infer Phase 1 revenue fit from federal awards","follow-only/watch; prioritize relevant program and growth posts"
"secondary","General Dynamics","federal-ecosystem","https://www.washingtontechnology.com/rankings/top-100/2026/","organization named in 2026 federal contractor ranking; exact LinkedIn identity pending","ecosystem watch; do not infer Phase 1 revenue fit from federal awards","follow-only/watch; prioritize relevant program and growth posts"
"secondary","CACI International","federal-ecosystem","https://www.washingtontechnology.com/rankings/top-100/2026/","organization named in 2026 federal contractor ranking; exact LinkedIn identity pending","ecosystem watch; do not infer Phase 1 revenue fit from federal awards","follow-only/watch; prioritize relevant program and growth posts"
"secondary","Northrop Grumman","federal-ecosystem","https://www.washingtontechnology.com/rankings/top-100/2026/","organization named in 2026 federal contractor ranking; exact LinkedIn identity pending","ecosystem watch; do not infer Phase 1 revenue fit from federal awards","follow-only/watch; prioritize relevant program and growth posts"
"secondary","L3Harris Technologies","federal-ecosystem","https://www.washingtontechnology.com/rankings/top-100/2026/","organization named in 2026 federal contractor ranking; exact LinkedIn identity pending","ecosystem watch; do not infer Phase 1 revenue fit from federal awards","follow-only/watch; prioritize relevant program and growth posts"
"secondary","Boeing","federal-ecosystem","https://www.washingtontechnology.com/rankings/top-100/2026/","organization named in 2026 federal contractor ranking; exact LinkedIn identity pending","ecosystem watch; do not infer Phase 1 revenue fit from federal awards","follow-only/watch; prioritize relevant program and growth posts"
"secondary","Accenture Federal Services","federal-ecosystem","https://www.washingtontechnology.com/rankings/top-100/2026/","organization named in 2026 federal contractor ranking; exact LinkedIn identity pending","ecosystem watch; do not infer Phase 1 revenue fit from federal awards","follow-only/watch; prioritize relevant program and growth posts"
