"id","title","collection","pillar","account","state","evidence_requirement","durability"
"BANK-001","External change becomes intelligence only after exposure is established","Category / method","Consequence Path","Founder or company according to evidence object","IDEA — evidence and draft not yet created","owner method authority; attach a real public case for empirical or analytical claims","durable principle; recheck case and source before publication"
"BANK-002","The unit of analysis is the affected organization","Category / method","Consequence Path","Founder or company according to evidence object","IDEA — evidence and draft not yet created","owner method authority; attach a real public case for empirical or analytical claims","durable principle; recheck case and source before publication"
"BANK-003","Separate materiality from novelty","Category / method","Consequence Path","Founder or company according to evidence object","IDEA — evidence and draft not yet created","owner method authority; attach a real public case for empirical or analytical claims","durable principle; recheck case and source before publication"
"BANK-004","Consequence is conditional on exposure","Category / method","Consequence Path","Founder or company according to evidence object","IDEA — evidence and draft not yet created","owner method authority; attach a real public case for empirical or analytical claims","durable principle; recheck case and source before publication"
"BANK-005","A consequence path needs an explicit intermediate link","Category / method","Consequence Path","Founder or company according to evidence object","IDEA — evidence and draft not yet created","owner method authority; attach a real public case for empirical or analytical claims","durable principle; recheck case and source before publication"
"BANK-006","Why sector-wide news can be immaterial to one contractor","Category / method","Consequence Path","Founder or company according to evidence object","IDEA — evidence and draft not yet created","owner method authority; attach a real public case for empirical or analytical claims","durable principle; recheck case and source before publication"
"BANK-007","Opportunity, threat and monitoring are different assessments","Category / method","Consequence Path","Founder or company according to evidence object","IDEA — evidence and draft not yet created","owner method authority; attach a real public case for empirical or analytical claims","durable principle; recheck case and source before publication"
"BANK-008","Severity and confidence answer different questions","Category / method","Consequence Path","Founder or company according to evidence object","IDEA — evidence and draft not yet created","owner method authority; attach a real public case for empirical or analytical claims","durable principle; recheck case and source before publication"
"BANK-009","An intelligence conclusion should name the decision it informs","Category / method","Consequence Path","Founder or company according to evidence object","IDEA — evidence and draft not yet created","owner method authority; attach a real public case for empirical or analytical claims","durable principle; recheck case and source before publication"
"BANK-010","A second source is not always a second observation","Category / method","Consequence Path","Founder or company according to evidence object","IDEA — evidence and draft not yet created","owner method authority; attach a real public case for empirical or analytical claims","durable principle; recheck case and source before publication"
"BANK-011","What would change the conclusion?","Category / method","Consequence Path","Founder or company according to evidence object","IDEA — evidence and draft not yet created","owner method authority; attach a real public case for empirical or analytical claims","durable principle; recheck case and source before publication"
"BANK-012","Why silence can be an intelligence result","Category / method","Consequence Path","Founder or company according to evidence object","IDEA — evidence and draft not yet created","owner method authority; attach a real public case for empirical or analytical claims","durable principle; recheck case and source before publication"
"BANK-013","First public is different from first relevant","Category / method","Consequence Path","Founder or company according to evidence object","IDEA — evidence and draft not yet created","owner method authority; attach a real public case for empirical or analytical claims","durable principle; recheck case and source before publication"
"BANK-014","A broad match does not establish customer relevance","Category / method","Consequence Path","Founder or company according to evidence object","IDEA — evidence and draft not yet created","owner method authority; attach a real public case for empirical or analytical claims","durable principle; recheck case and source before publication"
"BANK-015","The cost of false relevance","Category / method","Consequence Path","Founder or company according to evidence object","IDEA — evidence and draft not yet created","owner method authority; attach a real public case for empirical or analytical claims","durable principle; recheck case and source before publication"
"BANK-016","Why exact identifiers precede narrative matching","Category / method","Consequence Path","Founder or company according to evidence object","IDEA — evidence and draft not yet created","owner method authority; attach a real public case for empirical or analytical claims","durable principle; recheck case and source before publication"
"BANK-017","When a relationship should remain unresolved","Category / method","Consequence Path","Founder or company according to evidence object","IDEA — evidence and draft not yet created","owner method authority; attach a real public case for empirical or analytical claims","durable principle; recheck case and source before publication"
